,Song,1
1848,Barbara-Ann,0
1849,Barbie Dreams,0
1850,Barbie Girl,0
1851,Barbie Tingz,0
1852,Barbra Streisand,0
1853,Barcelona,0
1854,Barefoot And Crazy,0
1855,Barefoot Blue Jean Night,0
1856,Barefoot In Baltimore,0
1857,Barefootin',0
1858,Barely Breathing,0
1859,"Baretta's Theme (""Keep Your Eye On The Sparrow"")",0
1860,Baroque-A-Nova,0
1861,Barracuda,0
1862,Barrel Of A Gun,0
1863,Bartender,0
1864,Bartender Song,0
1865,Bartier Cardi,0
1866,Basketball,0
1867,Basketball Jones Featuring Tyrone Shoelaces,0
1868,Bass Down Low,0
1869,Bat Country,0
1870,"Batdance (From ""Batman"")",1
1871,Batman,0
1872,Batman & His Grandmother,0
1873,Batman Theme,0
1874,Battle Hymn Of Lt. Calley,0
1875,Battle Hymn Of The Republic,0
1876,Battle Of Gettysburg,0
1877,Battle Of New Orleans,0
1878,Battle Scars,0
1879,Battlefield,0
1880,Battleship Chains,0
1881,"Baubles, Bangles And Beads",0
1882,Be,0
1883,Be Alright,0
1884,Be Anything (But Be Mine),0
1885,Be Bop A-Lula,0
1886,Be Careful,0
1887,Be Careful Of Stones That You Throw,0
1888,Be Good To Me,0
1889,Be Good To Me Baby,0
1890,Be Good To Yourself,0
1891,Be Happy,0
1892,Be Here,0
1893,Be Like Me,0
1894,Be Like That,0
1895,Be Mad Little Girl,0
1896,Be Mine (Tonight),0
1897,Be Mine Tonight,0
1898,Be My Baby,0
1899,Be My Baby Tonight,0
1900,Be My Boy,0
1901,Be My Escape,0
1902,Be My Girl,0
1903,Be My Guest,0
1904,Be My Lady,0
1905,Be My Lover,0
1906,Be Near Me,0
1907,Be Nice To Me,0
1908,Be OK,0
1909,Be On You,0
1910,Be Real,0
1911,Be Still My Beating Heart,0
1912,Be Thankful For What You Got,0
1913,"Be There (From ""Beverly Hills Cop II"")",0
1914,Be True To Your School,0
1915,Be True To Yourself,0
1916,Be What You Are,0
1917,Be With You,3
1918,Be Without You,0
1919,"Be Young, Be Foolish, Be Happy",0
1920,Be Your Man,0
1921,Be Yourself,0
1922,Beach Baby,0
1923,Beach Girl,0
1924,Beach Party,0
1925,Beach Time,0
1926,Beachcomber,0
1927,Beachin',0
1928,"Beamer, Benz, Or Bentley",0
1929,Beans In My Ears,0
1930,Beast Mode,0
1931,Beast Of Burden,0
1932,Beat It,3
1933,Beat Me Daddy Eight To The Bar,0
1934,Beat Of A Heart,0
1935,Beat Of The Music,0
1936,Beat Patrol,0
1937,Beat The Clock,0
1938,Beat This Summer,0
1939,Beat's So Lonely,0
1940,Beating Heart,0
1941,Beatnik Fly,0
1942,Beatstreet,0
1943,Beaucoups Of Blues,0
1944,Beautician Blues,0
1945,Beautiful,0
1946,Beautiful Crazy,0
1947,Beautiful Day,0
1948,Beautiful Delilah,0
1949,Beautiful Drug,0
1950,Beautiful Flower,0
1951,Beautiful Girl,0
1952,Beautiful Girls,4
1953,Beautiful Goodbye,0
1954,Beautiful In My Eyes,0
1955,Beautiful Lasers (2 Ways),0
1956,Beautiful Liar,0
1957,Beautiful Life,0
1958,Beautiful Love,0
1959,Beautiful Mess,0
1960,Beautiful Monster,0
1961,Beautiful Now,0
1962,Beautiful Obsession,0
1963,Beautiful Pain,0
1964,Beautiful People,0
1965,Beautiful Soul,0
1966,Beautiful Stranger,0
1967,Beautiful Sunday,0
1968,Beautiful Trauma,0
1969,Beauty,0
1970,Beauty And A Beat,0
1971,Beauty And The Beast,0
1972,Beauty Is Only Skin Deep,0
1973,Because,0
1974,Because I Got High,0
1975,Because I Love You,0
1976,Because I Love You (The Postman Song),4
1977,Because Of Love,0
1978,Because Of You,0
1979,Because The Night,0
1980,Because They're Young,0
1981,Because You Love Me,0
1982,"Because You Loved Me (From ""Up Close & Personal"")",6
1983,Because You're Young,0
1984,Bed,0
1985,Bed And Board,0
1986,Bed Intruder Song,0
1987,Bed Of Lies,0
1988,Bed Of Rose's,0
1989,Bed Of Roses,0
1990,BedRock,0
1991,Bedroom Floor,0
1992,Beds Are Burning,0
1993,Bedtime Story,0
1994,Beechwood 4-5789,0
1995,Been Around The World,0
1996,Been There,0
1997,Been To Canaan,0
1998,Been Too Long On The Road,0
1999,Been You,0
2000,Beep,0
2001,Beep Beep,0
2002,Beer Barrel Polka/Dick And Jane,0
2003,Beer For My Horses,0
2004,Beer In Mexico,0
2005,Beer Money,0
2006,Beer Never Broke My Heart,0
2007,Beers Ago,0
2008,Beez In The Trap,0
2009,Before And After,0
2010,Before He Cheats,0
2011,Before I Go,0
2012,Before I Grow Too Old,0
2013,Before I Let Go,0
2014,Before I Let You Go,0
2015,Before It's Too Late (Sam And Mikaela's Theme),0
2016,Before My Heart Finds Out,0
2017,Before The Next Teardrop Falls,1
2018,Before You Go,0
2019,Before You Walk Out Of My Life/Like This And Like That,0
2020,Beg For It,0
2021,Beg Me,0
2022,"Beg, Borrow And Steal",0
2023,"Beg, Borrow Or Steal",0
2024,"Beg, Steal Or Borrow",0
2025,Beggin',0
2026,Beggin' On Your Knees,0
2027,Begging To You,0
2028,Begin Again,0
2029,Beginning To Feel The Pain,0
2030,Beginnings/Colour My World,0
2031,Behind Bars,0
2032,Behind Blue Eyes,0
2033,Behind Closed Doors,0
2034,Behind The Door,0
2035,Behind These Hazel Eyes,0
2036,Bei Mir Bist Du Schön,0
2037,Beibs In The Trap,0
2038,Being With You,0
2039,Believe,4
2040,Believe Half Of What You See (And None Of What You Hear),0
2041,Believe In Me,0
2042,Believe In Me Baby - Part I,0
2043,Believe Me,0
2044,Believer,0
2045,Bell Bottom Blues,0
2046,Bella Linda,0
2047,Bella y Sensual,0
2048,Bellas Finals: Price Tag / Don't You (Forget About Me)...,0
2049,Belle,0
2050,"Bells, Bells, Bells (The Bell Song)",0
2051,Belly,0
2052,Belly Dancer (Bananza),0
2053,Ben,1
2054,Ben Crazy,0
2055,"Bend Me, Shape Me",0
2056,Bend Ova,0
2057,Beneath Your Beautiful,0
2058,Bennie And The Jets,1
2059,Bent,1
2060,Berlin Melody,0
2061,Bermuda,0
2062,Bernadette,0
2063,Berzerk,0
2064,Besame Mucho (Part I),0
2065,Best Beat In Town,0
2066,Best Day Of My Life,0
2067,Best Days Of Your Life,0
2068,Best Friend,0
2069,Best Friend's Brother,0
2070,Best Friends,0
2071,Best I Ever Had,0
2072,Best I Ever Had (Grey Sky Morning),0
2073,Best Life,0
2074,Best Love Song,0
2075,Best Mistake,0
2076,Best Of Both Worlds,0
2077,Best Of Intentions,0
2078,Best Of Me,0
2079,Best Of My Love,6
2080,Best Of Times,0
2081,Best Of You,0
2082,Best Part,0
2083,Best Shot,0
2084,Best Song Ever,0
2085,Best Thing,0
2086,Best Thing I Never Had,0
2087,Best Thing That Ever Happened To Me,0
2088,Bet I,0
2089,Bet On It,0
2090,Bet Your Heart On Me,0
2091,"Betcha By Golly, Wow",0
2092,Betcha Can't Do It Like Me,0
2093,Betcha Say That,0
2094,Betcha She Don't Love You,0
2095,Betcha'll Never Find,0
2096,Beth,0
2097,Beth/Detroit Rock City,0
2098,Betrayed,0
2099,Bette Davis Eyes,9
2100,Better,0
2101,Better As A Memory,0
2102,Better Be Good To Me,0
2103,Better Be Home Soon,0
2104,Better By The Pound,0
2105,Better Days,0
2106,Better Days (And The Bottom Drops Out),0
2107,Better Dig Two,0
2108,Better In Time,0
2109,Better Life,0
2110,Better Love Next Time,0
2111,Better Man,0
2112,Better Now,0
2113,Better Off Alone,0
2114,Better Place To Be (Parts 1 & 2),0
2115,Better Tell Him No,0
2116,Better Than I Know Myself,0
2117,Better Than I Used To Be,0
2118,Better Than Me,0
2119,Better Than Revenge,0
2120,Better Than You,0
2121,Better Things,0
2122,Better To Give Than Receive,0
2123,Better Use Your Head,0
2124,Better With The Lights Off,0
2125,Betty In Bermudas,0
2126,Betty Lou Got A New Pair Of Shoes,0
2127,Betty My Angel,0
2128,Between Her Goodbye And My Hello,0
2129,Between Me And You,0
2130,Between The Raindrops,0
2131,Between You And Me,0
2132,Beverly Hills,0
2133,Beware,0
2134,"Beware Of My Crew (From ""A Thin Line Between Love And Hate"")",0
2135,Beware Of The Boys (Mundian To Bach Ke),0
2136,Bewildered,0
2137,Beyond,0
2138,Beyond The Blue Horizon,0
2139,Beyond The Invisible,0
2140,Beyond The Sea,0
2141,Beyond The Sunset,0
2142,Bia' Bia',0
2143,Bickenhead,0
2144,Bicycle Race/Fat Bottomed Girls,0
2145,Big Bad John,5
2146,"Big Bad Mamma (From ""Def Jam's How To Be A Player"")",0
2147,Big Bank,0
2148,Big Big World,0
2149,Big Blue Note,0
2150,Big Boat,0
2151,Big Bopper's Wedding,0
2152,Big Boss Line,0
2153,Big Boss Man,0
2154,Big Boy Pete,0
2155,Big Brown Eyes,0
2156,Big Bruce,0
2157,Big Chips,0
2158,Big City Miss Ruth Ann,0
2159,Big Cold Wind,0
2160,Big Crash,0
2161,Big Daddy,0
2162,Big Deal,0
2163,Big Fun,0
2164,Big Girls Don't Cry,6
2165,Big Green Tractor,0
2166,"Big Gun (From ""Last Action Hero"")",0
2167,Big In Japan,0
2168,Big In Vegas,0
2169,Big Iron,0
2170,Big John,0
2171,Big Leg Woman (With A Short Short Mini Skirt),0
2172,Big Log,0
2173,Big Love,0
2174,Big Machine,0
2175,Big Man,0
2176,Big Man In Town,0
2177,Big Mistake,0
2178,Big Night,0
2179,Big Ole Freak,0
2180,Big Party,0
2181,Big Pimpin',0
2182,Big Poppa/Warning,0
2183,Big Rings,0
2184,"Big River, Big Man",0
2185,Big Shot,0
2186,Big Star,0
2187,Big Talk,0
2188,Big Things Poppin' (Do It),0
2189,Big Time,0
2190,Big Time Operator,0
2191,Big Time Sensuality,0
2192,Big Wide World,0
2193,Big Yellow Taxi,0
2194,Bigfoot,0
2195,Bigger,0
2196,Bigger > You,0
2197,Bigger Than My Body,0
2198,Biggest Alley Oop,0
2199,Biggest Part Of Me,0
2200,Bill,0
2201,"Bill Bailey, Won't You Please Come Home",0
2202,Bill Gates,0
2203,Billie Baby,0
2204,Billie Jean,7
2205,Billion Dollar Babies,0
2206,Billionaire,0
2207,Bills,0
2208,"Bills, Bills, Bills",1
2209,Billy,0
2210,Billy - Don't Be A Hero,0
2211,Billy And Sue,0
2212,Billy Bayou,0
2213,Billy You're My Friend,0
2214,Billy's Got His Beer Goggles On,0
2215,"Billy, Don't Be A Hero",2
2216,Bimbombey,0
2217,Biological Didn't Bother,0
2218,Biology,0
2219,Bionic,0
2220,Bird Dance Beat,0
2221,Bird Dog,0
2222,Birdland,0
2223,Birds Of A Feather,0
2224,Birds Of Britain,0
2225,Birmingham,0
2226,Birthday,0
2227,Birthday Cake,0
2228,Birthday Party,0
2229,Birthday Sex,0
2230,Birthday Song,0
2231,"Birthday Suit (From ""Sing"")",0
2232,Biscuit's In The House,0
2233,Bit By Bit (Theme From Fletch),0
2234,Bitch,0
2235,"Bitch, Don't Kill My Vibe",0
2236,Bitches Ain't S**t,0
2237,Bite Your Lip (Get up and dance!),0
2238,Bits And Pieces,0
2239,Bitter Bad,0
2240,Bitter Sweet Symphony,0
2241,Bitter Tears,0
2242,Bittersweet,0
2243,Bittersweet Me,0
2244,Bizarre Love Triangle,0
2245,Bizounce,0
2246,Black,0
2247,Black & Chinese,0
2248,Black & White,1
2249,Black And Blue,0
2250,Black And Yellow,1
2251,Black Balloon,0
2252,Black Barbies,0
2253,Black Beatles,7
2254,Black Berries - Pt 1,0
2255,Black Betty,0
2256,Black Byrd,0
2257,Black Cars,0
2258,Black Cat,1
2259,Black Cloud,0
2260,Black Coffee,0
2261,Black Dog,0
2262,Black Fox,0
2263,Black Friday,0
2264,Black Hands White Cotton,0
2265,Black Horse & The Cherry Tree,0
2266,Black Horse And The Cherry Tree,0
2267,Black Ice (Sky High),0
2268,Black Is Black,0
2269,Black Kisses Never Make You Blue,0
2270,Black Land Farmer,0
2271,Black Lassie (Featuring Johnny Stash),0
2272,Black Leather,0
2273,Black Magic,0
2274,Black Magic Woman,0
2275,Black Night,0
2276,Black Nights,0
2277,Black Or White,7
2278,Black Panther,0
2279,Black Pearl,0
2280,Black Rain,0
2281,Black Seeds Keep On Growing,0
2282,Black Sheep,0
2283,Black Skinhead,0
2284,Black SpiderMan,0
2285,Black Stations/White Stations,0
2286,Black Suits Comin' (Nod Ya Head),0
2287,"Black Superman - ""Muhammad Ali""",0
2288,Black Sweat,0
2289,Black Velvet,2
2290,Black Water,1
2291,Black Widow,0
2292,Blackberry Molasses,0
2293,Blackbird,0
2294,Blackout,0
2295,Blackstar,0
2296,Blah Blah Blah,0
2297,"Blah, Blah, Blah",0
2298,Blame,0
2299,Blame It,0
2300,Blame It (On The Alcohol),0
2301,Blame It On Love,0
2302,Blame It On Me,0
2303,Blame It On The Boogie,0
2304,Blame It On The Bossa Nova,0
2305,Blame It On The Radio,0
2306,Blame It On The Rain,2
2307,Blank Space,7
2308,Blanket On The Ground,0
2309,Blase,0
2310,Blaze Of Glory,0
2311,"Blaze Of Glory (From ""Young Guns II"")",1
2312,Bleed It Out,0
2313,Bleed Red,0
2314,Bleeding Love,4
2315,Blem,0
2316,Bless Our Love,0
2317,Bless The Beasts And Children,0
2318,Bless The Broken Road,0
2319,Bless You,0
2320,Blessed,0
2321,Blessed Are The Believers,0
2322,Blessed Are The Lonely,0
2323,Blessed Is The Rain,0
2324,Blessed Up,0
2325,Blessings,0
2326,Blind Eye/Sweet Lorraine,0
2327,Blind Faith,0
2328,Blind Man,0
2329,Blinded By Love,0
2330,Blinded By The Light,1
2331,Bling Bling,0
2332,Blip Blop,0
2333,Bliss,0
2334,Blistered/See Ruby Fall,0
2335,Bloat On Featuring the Bloaters,0
2336,Blockbuster,0
2337,Blood Is Thicker Than Water,0
2338,Blood On The Dance Floor,0
2339,Blood On The Leaves,0
2340,Blood Red And Goin' Down,0
2341,Blood.,0
2342,Bloodline,0
2343,Bloody Well Right,0
2344,Blow,0
2345,Blow A Bag,0
2346,Blow Away,0
2347,Blow Me (One Last Kiss),0
2348,Blow Your Mind (Mwah),0
2349,Blowin In The Wind,0
2350,Blowin' In The Wind,0
2351,Blowin' Me Up (With Her Love),0
2352,Blowing Away,0
2353,Blowing Kisses In The Wind,0
2354,Blown Away,0
2355,Blt,0
2356,Blue,0
2357,Blue (Da Ba Dee),0
2358,Blue Ain't Your Color,0
2359,Blue Angel,0
2360,Blue Autumn,0
2361,Blue Bayou,0
2362,Blue Blue Day,0
2363,Blue Boy,0
2364,Blue Christmas,0
2365,Blue Collar,0
2366,Blue Collar Man (Long Nights),0
2367,Blue Eyes,0
2368,Blue Eyes Crying In The Rain,0
2369,Blue Guitar,0
2370,Blue Hawaii,0
2371,Blue Jean,0
2372,Blue Jeans,0
2373,Blue Kiss,0
2374,Blue Light,0
2375,Blue Magic,0
2376,Blue Monday,0
2377,Blue Monday 1988,0
2378,Blue Money,0
2379,Blue Moon,3
2380,"Blue Morning, Blue Day",0
2381,Blue Notes,0
2382,Blue On Black,0
2383,Blue On Blue,0
2384,Blue Orchid,0
2385,Blue Ribbon Baby,0
2386,Blue River,0
2387,Blue Shadows,0
2388,Blue Side Of Lonesome,0
2389,Blue Sky,0
2390,Blue Sky Mine,0
2391,Blue Suede Shoes,0
2392,Blue Tacoma,0
2393,Blue Tango,0
2394,Blue Tint,0
2395,Blue Tomorrow,0
2396,Blue Velvet,3
2397,Blue Water Line,0
2398,Blue Winter,0
2399,Blue World,0
2400,Blue's Theme,0
2401,Bluebell,0
2402,Bluebird,0
2403,Bluebirds Over The Mountain,0
2404,Bluer Than Blue,0
2405,Blues (Stay Away From Me),0
2406,Blues Before And After,0
2407,Blues Power,0
2408,Blunt Blowin,0
2409,Blurred Lines,12
2410,Blurry,0
2411,Bo$$,0
2412,Boats Against The Current,0
2413,Bobbie Sue,0
2414,Bobby,0
2415,Bobby Bitch,0
2416,Bobby Sox To Stockings,0
2417,Bobby's Girl,0
2418,Bodak Yellow (Money Moves),3
2419,Body,0
2420,Body & Soul,0
2421,Body 2 Body,0
2422,Body And Soul,0
2423,Body Bumpin' Yippie-Yi-Yo,0
2424,Body Heat,0
2425,Body Language,0
2426,Body Like A Back Road,0
2427,Body On Me,0
2428,Body Party,0
2429,Body Rock,0
2430,Body Say,0
2431,Body Talk,0
2432,Bodyheat (Part 1),0
2433,Bohemian Rhapsody,0
2434,"Bohemian Rhapsody (From ""High School High"")",0
2435,Bojangles,0
2436,Bold Soul Sister,0
2437,Bom Bidi Bom,0
2438,Bombs Away,0
2439,Bomdigi,0
2440,Bon Appetit,0
2441,Bon Bon Vie (Gimme The Good Life),0
2442,"Bon, Bon",0
2443,Bon-Doo-Wah,0
2444,Bonanza,0
2445,Bonanza!,0
2446,Bonaparte's Retreat,0
2447,Bonfire,0
2448,Bongo Bongo,0
2449,Bongo Bongo Bongo,0
2450,Bongo Rock,0
2451,Bongo Stomp,0
2452,Bonnie Came Back,0
2453,Bony Moronie,0
2454,Boo Boo Stick Beat,0
2455,Boo'd Up,0
2456,"Boo, Boo, Don't 'Cha Be Blue",0
2457,Boo-Ga-Loo,0
2458,Boogaloo Down Broadway,0
2459,Boogie Bands And One Night Stands,0
2460,Boogie Bear,0
2461,Boogie Child,0
2462,Boogie Down,0
2463,Boogie Fever,1
2464,Boogie Nights,0
2465,Boogie On Reggae Woman,0
2466,Boogie Oogie Oogie,3
2467,Boogie Shoes,0
2468,Boogie Wonderland,0
2469,Boogie Woogie,0
2470,Boogie Woogie Bugle Boy,0
2471,Boogie Woogie Dancin' Shoes,0
2472,Boogie Woogie Man,0
2473,Book Of Love,0
2474,Boom,0
2475,Boom Biddy Bye Bye,0
2476,Boom Boom,0
2477,Boom Boom (Let's Go Back To My Room),0
2478,Boom Boom (Out Go The Lights),0
2479,Boom Boom Boom,0
2480,Boom Boom Pow,12
2481,Boom Bye Yae,0
2482,Boom Clap,0
2483,Boom Shak A-Tack,0
2484,Boom!,0
2485,Boom! I Got Your Boyfriend,0
2486,Boom! Shake The Room,0
2487,Boom! There She Was,0
2488,"Boom, Boom, Boom, Boom!!",0
2489,Boom-A-Dip-Dip,0
2490,BoomTrap Protocol,0
2491,Boombastic/In The Summertime,0
2492,Boondocks,0
2493,Boot Scootin' Boogie,0
2494,Boot-Leg,0
2495,Booti Call,0
2496,Boots,0
2497,Boots On,0
2498,Booty,0
2499,Booty Butt,0
2500,Booty Wurk (One Cheek At A Time),0
2501,Bootylicious,2
2502,Bop,0
2503,Bop 'til You Drop,0
2504,Bop Gun (One Nation),0
2505,Bop To The Top,0
2506,Border Song,0
2507,Border Song (Holy Moses)/You And Me,0
2508,Borderline,0
2509,Borderline / Open Your Heart,0
2510,Bored To Death,0
2511,Born 2 B.R.E.E.D.,0
2512,Born A Woman,0
2513,Born Again,0
2514,Born Free,0
2515,Born In East L.A.,0
2516,Born In The USA,0
2517,Born This Way,6
2518,Born To Be Alive,0
2519,Born To Be My Baby,0
2520,Born To Be Somebody,0
2521,Born To Be Together,0
2522,Born To Be Wild,0
2523,Born To Be With You,0
2524,Born To Be Yours,0
2525,Born To Fly,0
2526,Born To Lose,0
2527,Born To Roll,0
2528,Born To Run,0
2529,Born To Wander,0
2530,Born Too Late,0
2531,Borrowed Dreams,0
2532,Borrowed Love,0
2533,Borrowed Time,0
2534,Boss,0
2535,Boss Guitar,0
2536,Bossa Nova Baby,0
2537,Bossa Nova U.S.A.,0
2538,Bossy,0
2539,Boston,0
2540,Both,0
2541,Both Of Us,0
2542,Both Sides Now,0
2543,Both Sides Of The Story,0
2544,Bother,0
2545,Bottle Of Wine,0
2546,Bottom Of The Bottle,0
2547,Bottoms Up,0
2548,Boulevard,0
2549,Boulevard Of Broken Dreams,0
2550,Bounce,0
2551,Bounce Back,0
2552,Bounce It,0
2553,Bounce With Me,0
2554,"Bounce, Rock, Skate, Roll Pt. 1",0
2555,Bouncin' Back (Bumpin' Me Against The Wall),0
2556,Bouncing Off The Ceiling (Upside Down),0
2557,Bouncing Off The Wall,0
2558,Bound 2,0
2559,Bow Chicka Wow Wow,0
2560,Bow Down,0
2561,Bow Wow (That's My Name),0
2562,Bow Wow Wow,0
2563,Bowling Green,0
2564,Boy,0
2565,Boy Blue,0
2566,Boy From New York City,0
2567,Boy In The Box,0
2568,Boy Toy,0
2569,Boy With Luv,0
2570,"Boy, I've Been Told",0
2571,Boyfriend,0
2572,Boyfriend #2,0
2573,Boyfriend/Girlfriend,0
2574,Boys 'round Here,0
2575,Boys Do Fall In Love,0
2576,Boys Night Out,0
2577,Boyz-N-The Hood,0
2578,Brackets,0
2579,Braid My Hair,0
2580,Brainstorming,0
2581,Brand New,0
2582,Brand New Girlfriend,0
2583,Brand New Key,3
2584,Brand New Love Affair,0
2585,Brand New Love Affair (Part I & II),0
2586,Brand New Lover,0
2587,Brandy,0
2588,Brandy (You're A Fine Girl),1
2589,Brass Buttons,0
2590,Brass In Pocket (I'm Special),0
2591,Brass Monkey,0
2592,Brave,0
2593,Brazil,0
2594,Bread And Butter,0
2595,Break,0
2596,Break 'Em Off,0
2597,Break Away,0
2598,Break Away (From That Boy),0
2599,Break Da Law,0
2600,Break Down Here,0
2601,Break Every Rule,0
2602,Break Free,0
2603,Break It Down Again,0
2604,Break It Off,0
2605,Break It To Me Gently,0
2606,Break It To Them Gently,0
2607,Break It Up,0
2608,Break My Bank,0
2609,Break My Heart,0
2610,Break My Stride,0
2611,Break On Me.,0
2612,Break Out,0
2613,Break The Ice,0
2614,Break The Rules,0
2615,Break Up,0
2616,Break Up In A Small Town,0
2617,Break Up In The End,0
2618,Break Up To Make Up,0
2619,Break Up With Him,0
2620,"Break Up With Your Girlfriend, I'm Bored",0
2621,Break Ups 2 Make Ups,0
2622,Break Ya Neck,0
2623,Break You Off,0
2624,Break Your Heart,1
2625,Break Your Promise,0
2626,Break-A-Way,0
2627,Break-Up,0
2628,Breakadawn,0
2629,Breakaway,0
2630,Breakdance,0
2631,Breakdown,0
2632,Breakdown Dead Ahead,0
2633,Breaker - Breaker,0
2634,Breakeven,0
2635,Breakfast At Tiffany's,0
2636,Breakfast For Two,0
2637,Breakfast In America,0
2638,Breakfast In Bed,0
2639,Breakin' Away,0
2640,Breakin' In A Brand New Broken Heart,0
2641,Breakin' My Heart (Pretty Brown Eyes),0
2642,Breakin' Up Is Breakin' My Heart,0
2643,Breakin'...there's No Stopping Us,0
2644,Breaking All The Rules,0
2645,Breaking Away,0
2646,Breaking Free,0
2647,Breaking The Habit,0
2648,Breaking Up Is Hard On You,0
2649,Breaking Up Is Hard To Do,2
2650,Breaking Up Somebody's Home,0
2651,Breaking Us In Two,0
2652,Breakout,0
2653,Breakthrough,0
2654,Breakwater,0
2655,Breath,0
2656,Breathe,0
2657,Breathe (2 AM),0
2658,Breathe Again,0
2659,Breathe And Stop,0
2660,"Breathe, Stretch, Shake",0
2661,Breathin,0
2662,Breathless,0
2663,Breezin',0
2664,Brenda,0
2665,Brian Wilson,0
2666,Brian's Song,0
2667,Brick House,0
2668,Bridge Over Troubled Water,6
2669,Bridge Over Troubled Water/Brand New Me,0
2670,Bridget The Midget (The Queen Of The Blues),0
2671,Bridging The Gap,0
2672,Bright,0
2673,Bright Lights,0
2674,Bright Lights Big City,0
2675,"Bright Lights, Big City",0
2676,Brighter Than The Sun,0
2677,Brighton Hill,0
2678,Brilliant Disguise,0
2679,Bring A Little Lovin',0
2680,Bring A Little Sunshine (To My Heart),0
2681,Bring Back The Love Of Yesterday,0
2682,Bring Back The Time,0
2683,Bring Back Those Rockabye Baby Days,0
2684,Bring Down The Moon,0
2685,Bring Em Out,0
2686,Bring It All Back,0
2687,Bring It All To Me,0
2688,Bring It Back,0
2689,Bring It Home (And Give It To Me),0
2690,Bring It On,0
2691,Bring It On Home,0
2692,Bring It On Home To Me,0
2693,Bring It Up,0
2694,Bring Me To Life,0
2695,Bring On The Rain,0
2696,Bring Out The Freak In You,0
2697,Bring The Boys Home,0
2698,Bring The Pain,0
2699,Bring Your Love To Me,0
2700,Bringin' On The Heartbreak,0
2701,Bringing It Back,0
2702,Brink Of Disaster,0
2703,Bristol Stomp,0
2704,Bristol Twistin' Annie,0
2705,Brite Eyes,0
2706,Broadway,0
2707,Broccoli,0
2708,Broken,0
2709,Broken Arrow,0
2710,Broken Clocks,0
2711,Broken Halos,0
2712,Broken Heart,0
2713,Broken Heart And A Pillow Filled With Tears,0
2714,Broken Hearted,0
2715,Broken Hearted Me,0
2716,Broken Land,0
2717,Broken Wings,2
2718,Broken-Hearted Melody,0
2719,Brokenhearted,0
2720,Brokenheartsville,0
2721,Brontosaurus Stomp,0
2722,Brooklyn,0
2723,Brooklyn Girls,0
2724,Brooklyn Roads,0
2725,Brooklyn Zoo,0
2726,Broomstick Cowboy,0
2727,Brotha,0
2728,Brother,0
2729,Brother Louie,2
2730,Brother Love's Travelling Salvation Show,0
2731,Brother Rapp (Part 1),0
2732,Brother's Gonna Work It Out,0
2733,Brother-In-Law (He's A Moocher),0
2734,Brown Arms In Houston,0
2735,Brown Eyed Girl,0
2736,Brown Eyed Woman,0
2737,Brown Paper Bag,0
2738,Brown Sugar,2
2739,Brownsville,0
2740,Bruce,0
2741,Bruises,0
2742,Bubble Butt,0
2743,Bubble Gum Music,0
2744,Bubbly,0
2745,Buckaroo,0
2746,"Bucket ""T""",0
2747,Bucktown,0
2748,Budapest,0
2749,Buddy,0
2750,Buddy X,0
2751,Buffalo Soldier,0
2752,Buffalo Stance,0
2753,Bug A Boo,0
2754,Bugatti,0
2755,Build Me Up Buttercup,0
2756,Building A Mystery,0
2757,Building Bridges,0
2758,Bulldog,0
2759,Bullet With Butterfly Wings,0
2760,Bulletproof,0
2761,Bullets In The Gun,0
2762,Bullish,0
2763,Bullwhip Rock,0
2764,Bully,0
2765,Bumble Bee,0
2766,Bumble Boogie,0
2767,Bump Me Baby Part 1,0
2768,Bump N' Grind,4
2769,"Bump, Bump, Bump",1
2770,Bumpin' The Night,0
2771,Bungle In The Jungle,0
2772,Bunny Hop,0
2773,Burn,8
2774,Burn It Down,0
2775,Burn Out,0
2776,Burn Rubber (Why You Wanna Hurt Me),0
2777,Burn Slow,0
2778,Burn The House Down,0
2779,Burnin' For You,0
2780,Burnin' It Down,0
2781,Burnin' Sky,0
2782,Burnin' Thing,0
2783,Burnin' Up,0
2784,Burning Bridges,0
2785,Burning Down One Side,0
2786,Burning Down The House,0
2787,Burning Flame,0
2788,Burning Heart,0
2789,Burning House,0
2790,Burning Like A Flame,0
2791,Burning Love,0
2792,Burning Man,0
2793,Burning Spear,0
2794,Bury A Friend,0
2795,Bus Stop,0
2796,Business Is Business,0
2797,Bust A Move,0
2798,Bust It Baby Part 2,0
2799,Bust Out,0
2800,Bust Your Windows,0
2801,Busted,0
2802,Buster Browne,0
2803,Bustin' Loose,0
2804,Bustin' Out,0
2805,Busy Man,0
2806,But For Love,0
2807,But For The Grace Of God,0
2808,But I Do,0
2809,But It's Alright,0
2810,But Not For Me,0
2811,But On The Other Hand Baby,0
2812,But You Know I Love You,0
2813,But You're Mine,0
2814,Butt Naked,0
2815,Butta Love,0
2816,Butter Boy,0
2817,Butterflies,0
2818,Butterfly,2
2819,Butterfly Baby,0
2820,Butterfly Doors,0
2821,Butterfly Effect,0
2822,Butterfly Fly Away,0
2823,Butterfly Kisses,0
2824,Button Off My Shirt,0
2825,Buttons,0
2826,Buy For Me The Rain,0
2827,Buy Me A Boat,0
2828,Buy Me A Rose,0
2829,Buy U A Drank (Shawty Snappin'),1
2830,Buying A Book,0
2831,Buzz Buzz A-Diddle-It,0
2832,Buzzin',0
2833,Buzzkill,0
2834,Buzzy Brown,0
2835,By The Light Of The Silvery Moon,0
2836,By The Time I Get To Phoenix,0
