,Song,Performer,Relevance (Total Weeks on Chart),Count of no. 1,Year,Month,Popularity
21602,I Kissed A Girl,Katy Perry (10-2008),23,7,2008,10,0.3
21650,Tossin' And Turnin',Bobby Lewis (9-1961),23,7,1961,9,0.3
22031,Billie Jean,Michael Jackson (6-2014),25,7,2014,6,0.28
22037,Shadow Dancing,Andy Gibb (9-1978),25,7,1978,9,0.28
22139,Informer,Snow (6-1993),25,7,1993,6,0.28
22172,I'll Be There,The Escape Club (11-1991),25,7,1991,11,0.28
22221,Hot In Herre,Nelly (10-2002),26,7,2002,10,0.27
22426,Black Beatles,Rae Sremmurd Featuring Gucci Mane (4-2017),27,7,2017,4,0.26
22587,Venus,Frankie Avalon (4-1976),28,7,1976,4,0.25
22613,"Thank U, Next",Ariana Grande (5-2019),28,7,2019,5,0.25
22673,Love The Way You Lie,Eminem Featuring Rihanna (1-2011),29,7,2011,1,0.24
22681,This Is How We Do It,Montell Jordan (9-1995),29,7,1995,9,0.24
22721,"Can't Help Falling In Love (From ""Sliver"")",UB40 (11-1993),29,7,1993,11,0.24
22839,Whatever You Like,T.I. (3-2009),31,7,2009,3,0.23
22899,Crank That (Soulja Boy),Soulja Boy Tell'em (3-2008),32,7,2008,3,0.22
22938,Umbrella,Rihanna Featuring Jay-Z (12-2007),33,7,2007,12,0.21
23005,Waterfalls,TLC (1-1996),34,7,1996,1,0.21
23054,SexyBack,Justin Timberlake (3-2007),36,7,2007,3,0.19
23058,Blank Space,Taylor Swift (7-2015),36,7,2015,7,0.19
23130,Goodies,Ciara Featuring Petey Pablo (3-2005),38,7,2005,3,0.18
23161,Fancy,Iggy Azalea Featuring Charli XCX (12-2014),39,7,2014,12,0.18
