,Song,Performer,no. 1 Streak,Year,Popularity,Weeks before no. 1
87,Uptown Funk!,Mark Ronson Featuring Bruno Mars (3-2016),14,2016,0.25,8
88,One Dance,Drake Featuring WizKid & Kyla (12-2016),10,2016,0.28,5
89,See You Again,Wiz Khalifa Featuring Charlie Puth (3-2016),12,2016,0.23,5
90,Closer,The Chainsmokers Featuring Halsey (8-2017),12,2017,0.23,3
91,Black Beatles,Rae Sremmurd Featuring Gucci Mane (4-2017),7,2017,0.26,9
92,Nice For What,Drake (10-2018),8,2018,0.32,1
93,In My Feelings,Drake (12-2018),10,2018,0.45,2
94,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber (1-2018),16,2018,0.31,17
95,God's Plan,Drake (10-2018),11,2018,0.31,1
96,Shape Of You,Ed Sheeran (3-2018),12,2018,0.21,1
97,7 Rings,Ariana Grande (6-2019),8,2019,0.38,1
98,"Thank U, Next",Ariana Grande (5-2019),7,2019,0.25,1
99,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus (6-2019),11,2019,0.73,5
