,Unnamed: 0,url,WeekID,Week Position,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,year,month,day
51478,51478,http://www.billboard.com/charts/hot-100/1966-04-23,1966-04-23,64,Helpless,Kim Weston (4-1966),HelplessKim Weston,1,58.0,56,7,1966,4,23
51618,51618,http://www.billboard.com/charts/hot-100/1961-11-04,1961-11-04,66,Feel It,Sam Cooke (11-1961),Feel ItSam Cooke,1,63.0,56,7,1961,11,4
52727,52727,http://www.billboard.com/charts/hot-100/1990-02-17,1990-02-17,90,Going Home,Kenny G (2-1990),Going HomeKenny G,1,73.0,56,7,1990,2,17
52840,52840,http://www.billboard.com/charts/hot-100/1984-12-08,1984-12-08,94,Hot For Teacher,Van Halen (12-1984),Hot For TeacherVan Halen,1,77.0,56,7,1984,12,8
52864,52864,http://www.billboard.com/charts/hot-100/1978-04-22,1978-04-22,95,Never Get Enough Of Your Love,L.T.D. (4-1978),Never Get Enough Of Your LoveL.T.D.,1,56.0,56,7,1978,4,22
52897,52897,http://www.billboard.com/charts/hot-100/1977-12-03,1977-12-03,96,"Money, Money, Money",ABBA (12-1977),"Money, Money, MoneyABBA",1,64.0,56,7,1977,12,3
52898,52898,http://www.billboard.com/charts/hot-100/2007-07-07,2007-07-07,96,Impacto,Daddy Yankee Featuring Fergie (7-2007),ImpactoDaddy Yankee Featuring Fergie,1,88.0,56,7,2007,7,7
52967,52967,http://www.billboard.com/charts/hot-100/1983-04-30,1983-04-30,98,Goodnight Saigon,Billy Joel (4-1983),Goodnight SaigonBilly Joel,1,86.0,56,7,1983,4,30
223125,223125,http://www.billboard.com/charts/hot-100/1986-05-31,1986-05-31,90,Under The Influence,Vanity (5-1986),Under The InfluenceVanity,1,80.0,56,7,1986,5,31
225659,225659,http://www.billboard.com/charts/hot-100/1974-11-09,1974-11-09,63,Virgin Man,Smokey Robinson (11-1974),Virgin ManSmokey Robinson,1,56.0,56,7,1974,11,9
235948,235948,http://www.billboard.com/charts/hot-100/1961-01-21,1961-01-21,96,The Puppet Song,Frankie Avalon (1-1961),The Puppet SongFrankie Avalon,1,57.0,56,7,1961,1,21
