,Song,Performer,Relevance (Total Weeks on Chart),Count of no. 1,Year,Month,Popularity
65783,Groovy People,Lou Rawls (11-1976),5,0,1976,11,0.0
65816,Figure Of Eight,Paul McCartney (2-1990),5,0,1990,2,0.0
65848,Maybe This Day,Kissing The Pink (9-1983),5,0,1983,9,0.0
65849,Listen Me Tic (Woyoi),Ini Kamoze (8-1995),5,0,1995,8,0.0
65850,Fooled By A Feeling,Barbara Mandrell (11-1979),5,0,1979,11,0.0
65851,Last Dayz,Onyx (12-1995),5,0,1995,12,0.0
65853,Juice,Yo Gotti (1-2018),5,0,2018,1,0.0
65856,"Get Your Groove On (From ""Baps"")",Gyrl (7-1997),5,0,1997,7,0.0
65860,Love And Rock And Roll,Greg Kihn (4-1986),5,0,1986,4,0.0
65863,Get Crunked Up,Iconz Featuring Tony Manshino (3-2001),5,0,2001,3,0.0
65864,Music Eyes,Heartsfield (3-1974),5,0,1974,3,0.0
65865,Give Me A Sign (Forever And Ever),Breaking Benjamin (5-2010),5,0,2010,5,0.0
64603,Lamplight,David Essex (6-1974),5,0,1974,6,0.0
65847,La La,Ashlee Simpson (3-2005),5,0,2005,3,0.0
65817,No More Games,Skin Deep Featuring Li'l Kim Of Junior M.A.F.I.A. (5-1996),5,0,1996,5,0.0
65818,Georgia Porcupine,George Fischoff (6-1974),5,0,1974,6,0.0
65819,Nightrain,Guns N' Roses (8-1989),5,0,1989,8,0.0
65820,"Let's Lay Together (From ""Don't Be A Menace..."")",The Isley Brothers (6-1996),5,0,1996,6,0.0
65822,Fly Little White Dove Fly,The Bells (2-1971),5,0,1971,2,0.0
65823,No One's Gonna Change You,Reina (5-2003),5,0,2003,5,0.0
65827,It's Your Song,Garth Brooks (1-1999),5,0,1999,1,0.0
65828,If I Am,Nine Days (12-2000),5,0,2000,12,0.0
65829,Gimme Your Money Please,Bachman-Turner Overdrive (10-1976),5,0,1976,10,0.0
65831,Forgive,Rebecca Lynn Howard (12-2002),5,0,2002,12,0.0
65835,Mathematics,Melissa Manchester (5-1985),5,0,1985,5,0.0
65836,Drag My Bad Name Down,The 4 Of Us (5-1990),5,0,1990,5,0.0
65837,Hey Stoopid,Alice Cooper (8-1991),5,0,1991,8,0.0
65838,H.a.p.p.y. Radio,Edwin Starr (9-1979),5,0,1979,9,0.0
65839,"Hey Hey, My My (Into The Black)",Neil Young & Crazy Horse (11-1979),5,0,1979,11,0.0
65840,Love Is The Hero,Billy Squier (11-1986),5,0,1986,11,0.0
65841,Move Right Out,Rick Astley (7-1991),5,0,1991,7,0.0
65842,It's Her Turn To Live,Smokey Robinson (6-1974),5,0,1974,6,0.0
65830,Happy Hour,Deodato (7-1982),5,0,1982,7,0.0
65758,Love And Loneliness,The Motors (6-1980),5,0,1980,6,0.0
65757,One Foot Back In Your Door,Roman Holliday (3-1985),5,0,1985,3,0.0
65756,"Far, Far Away",Don Gibson (8-1960),5,0,1960,8,0.0
65673,I'm So Happy I Can't Stop Crying,Toby Keith With Sting (1-1998),5,0,1998,1,0.0
65675,Heaven In Your Arms,Dan Hartman (5-1981),5,0,1981,5,0.0
65678,If You're Serious,Riff (10-1991),5,0,1991,10,0.0
65679,Midwest Swing,St. Lunatics (7-2001),5,0,2001,7,0.0
65680,Got It All,Eve & Jadakiss (8-2000),5,0,2000,8,0.0
65681,"Just Ask Me To (From ""Boyz N The Hood"")",Tevin Campbell (9-1991),5,0,1991,9,0.0
65683,I'll Take That As A Yes (The Hot Tub Song),Phil Vassar (5-2005),5,0,2005,5,0.0
65685,Gotta Be...Movin' On Up,PRINCE BE & Ky-Mani (4-1998),5,0,1998,4,0.0
65695,I'm The Plug,Drake & Future (11-2015),5,0,2015,11,0.0
65696,Entourage,Omarion (9-2006),5,0,2006,9,0.0
65697,I Feel The Magic,Belinda Carlisle (10-1986),5,0,1986,10,0.0
65698,How Do You Fall In Love,Alabama (1-1999),5,0,1999,1,0.0
65686,I Can't Unlove You,Kenny Rogers (7-2006),5,0,2006,7,0.0
65669,Next Time You'll Know,Sister Sledge (6-1981),5,0,1981,6,0.0
65643,Just A Smile,Pilot (11-1975),5,0,1975,11,0.0
65670,Like Flames,Berlin (11-1986),5,0,1986,11,0.0
65658,Jackie's Strength,Tori Amos (10-1998),5,0,1998,10,0.0
65662,Look At That Cadillac,Stray Cats (2-1984),5,0,1984,2,0.0
64631,I'll Say Forever My Love,Jimmy Ruffin (4-1968),5,0,1968,4,0.0
65667,Happy With You,Samantha Cole (9-1997),5,0,1997,9,0.0
65732,It's Getting Late,The Beach Boys (8-1985),5,0,1985,8,0.0
64621,Everyday I Have To Cry,The Gentrys (6-1966),5,0,1966,6,0.0
65734,Guns For Hire,AC/DC (10-1983),5,0,1983,10,0.0
64620,Love Takes A Long Time Growing,Deon Jackson (5-1966),5,0,1966,5,0.0
65739,Let Your Soul Be Your Pilot,Sting (3-1996),5,0,1996,3,0.0
65740,Let's Do Something Cheap And Superficial,Burt Reynolds (11-1980),5,0,1980,11,0.0
65745,Old School Love,Lupe Fiasco Featuring Ed Sheeran (1-2014),5,0,2014,1,0.0
65746,Love Music,The Raiders (3-1973),5,0,1973,3,0.0
65751,Motown Review,Philly Cream (7-1979),5,0,1979,7,0.0
65752,Feel That You're Feelin',Maze Featuring Frankie Beverly (7-1979),5,0,1979,7,0.0
65755,No Church In The Wild,Jay Z Kanye West Featuring Frank Ocean (3-2012),5,0,2012,3,0.0
65744,Love Is Strong,The Rolling Stones (9-1994),5,0,1994,9,0.0
65727,Just Can't Wait,The J. Geils Band (8-1980),5,0,1980,8,0.0
65703,Farewell Andromeda (Welcome To My Morning),John Denver (10-1973),5,0,1973,10,0.0
64625,"Mama Was A Rock And Roll Singer, Papa Used To Write All Her Songs Part 1",Sonny & Cher (4-1973),5,0,1973,4,0.0
65704,"Names, Tags, Numbers & Labels",The Association (3-1973),5,0,1973,3,0.0
64624,I Wrote A Simple Song,Billy Preston (2-1972),5,0,1972,2,0.0
65709,Immortal,J. Cole (1-2017),5,0,2017,1,0.0
65710,Erase Me,Kid Cudi Featuring Kanye West (10-2010),5,0,2010,10,0.0
65711,Knockout,Lil Wayne Featuring Nicki Minaj (3-2010),5,0,2010,3,0.0
65712,Feel The Beat (Everybody Disco),Ohio Players (2-1977),5,0,1977,2,0.0
65713,"Oh, How I Miss You Tonight",Jeanne Black (1-1961),5,0,1961,1,0.0
65716,Europa And The Pirate Twins,Thomas Dolby (7-1983),5,0,1983,7,0.0
65719,Leaving L.A.,Deliverance (9-1980),5,0,1980,9,0.0
65720,I've Got The Next Dance,Deniece Williams (9-1979),5,0,1979,9,0.0
65721,I Pretend,Kim Carnes (6-1984),5,0,1984,6,0.0
65724,Here She Comes,Bonnie Tyler (9-1984),5,0,1984,9,0.0
65725,Johnny Come Home,Fine Young Cannibals (5-1986),5,0,1986,5,0.0
65714,Got To Love Somebody,Sister Sledge (2-1980),5,0,1980,2,0.0
64450,I Can't Quit Her,The Arbors (6-1969),5,0,1969,6,0.0
64469,Living On The Edge,Jim Capaldi (9-1983),5,0,1983,9,0.0
64464,Never Going Back,The Lovin' Spoonful (8-1968),5,0,1968,8,0.0
64458,If Walls Could Talk,Little Milton (2-1970),5,0,1970,2,0.0
64385,My Generation,The Who (2-1966),5,0,1966,2,0.0
64378,I'm Tired,Savoy Brown (12-1969),5,0,1969,12,0.0
64374,I Stand Accused (Of Loving You),The Glories (7-1967),5,0,1967,7,0.0
64370,Midnight Sky (Part 1),The Isley Brothers (2-1975),5,0,1975,2,0.0
64368,Love Man,Otis Redding (6-1969),5,0,1969,6,0.0
64402,If I'm A Fool For Loving You,Bobby Wood (9-1964),5,0,1964,9,0.0
64480,Down In The Alley,Ronnie Hawkins (2-1970),5,0,1970,2,0.0
64559,Forever Lovers,Mac Davis (5-1976),5,0,1976,5,0.0
64549,"Love, Reign O'er Me",The Who (12-1973),5,0,1973,12,0.0
64546,I'll Turn To Stone,Four Tops (8-1967),5,0,1967,8,0.0
64544,Just One Kiss From You,The Impressions (10-1965),5,0,1965,10,0.0
64542,Lose Again,Linda Ronstadt (7-1977),5,0,1977,7,0.0
64539,Here's To You,Hamilton Camp (6-1968),5,0,1968,6,0.0
64593,Good Time Girl,Nancy Sinatra (12-1968),5,0,1968,12,0.0
64579,How High The Moon (Part 1),Ella Fitzgerald (9-1960),5,0,1960,9,0.0
64538,Livin' Above Your Head,Jay & The Americans (8-1966),5,0,1966,8,0.0
64487,If You Wait For Love,Bobby Goldsboro (9-1965),5,0,1965,9,0.0
64484,How High The Moon,Gloria Gaynor (12-1975),5,0,1975,12,0.0
64482,I Need Some One,The Belmonts (1-1962),5,0,1962,1,0.0
64533,Grits Ain't Groceries (All Around The World),Little Milton (3-1969),5,0,1969,3,0.0
63281,Memory Lane,The Hippies (Formerly The Tams) (5-1963),5,0,1963,5,0.0
63267,"Nice, Nice, Very Nice",Ambrosia (12-1975),5,0,1975,12,0.0
63248,Like A Sunday Morning,Lana Cantrell (3-1975),5,0,1975,3,0.0
63232,Lonely Man,Elvis Presley With The Jordanaires (3-1961),5,0,1961,3,0.0
63402,Married Man,Richard Burton (2-1965),5,0,1965,2,0.0
63336,King Midas In Reverse,The Hollies (11-1967),5,0,1967,11,0.0
63041,I'm Scared,Burton Cummings (3-1977),5,0,1977,3,0.0
63028,Hush/I'm Alive,Blue Swede (3-1975),5,0,1975,3,0.0
63014,My Uncle Used To Love Me But She Died,Roger Miller (10-1966),5,0,1966,10,0.0
63009,"Look, Here Comes The Sun",The Sunshine Company (3-1968),5,0,1968,3,0.0
63181,I'll Always Call Your Name,Little River Band (3-1977),5,0,1977,3,0.0
63178,If I Should Lose You,Dreamlovers (7-1962),5,0,1962,7,0.0
63119,Juke Box Saturday Night,Nino & The Ebb Tides (9-1961),5,0,1961,9,0.0
63117,I Never Knew,Clyde McPhatter (8-1961),5,0,1961,8,0.0
63762,N-E-R-V-O-U-S!,Ian Whitcomb (10-1965),5,0,1965,10,0.0
63688,My Daddy Is President,Little Jo Ann (8-1962),5,0,1962,8,0.0
63677,If You Were A Rock And Roll Record,Freddy Cannon (12-1962),5,0,1962,12,0.0
63668,I Shall Be Released,The Box Tops (5-1969),5,0,1969,5,0.0
63705,Light Up The World With Sunshine,"Hamilton, Joe Frank & Dennison (8-1976)",5,0,1976,8,0.0
63701,Funky Walk Part I (East),Dyke And The Blazers (5-1968),5,0,1968,5,0.0
63699,It's Gotta Last Forever,Billy J. Kramer With The Dakotas (3-1965),5,0,1965,3,0.0
63781,Horse Fever,Cliff Nobles & Co. (10-1968),5,0,1968,10,0.0
63893,Just Look What You've Done,Brenda Holloway (5-1967),5,0,1967,5,0.0
63891,Ghetto Woman,B.B. King (10-1971),5,0,1971,10,0.0
63888,My Block,The Four Pennies (7-1963),5,0,1963,7,0.0
63882,Keep A Light In The Window Till I Come Home,Solomon Burke (3-1967),5,0,1967,3,0.0
63870,Like The Big Guys Do,The Rocky Fellers (7-1963),5,0,1963,7,0.0
63869,My Blue Heaven,Duane Eddy And The Rebels (9-1961),5,0,1961,9,0.0
63836,Indian Love Call,Ray Stevens (11-1975),5,0,1975,11,0.0
63816,Georgie Porgie,Jewel Akens (5-1965),5,0,1965,5,0.0
63517,"Here, There And Everywhere",Emmylou Harris (4-1976),5,0,1976,4,0.0
63491,Honey I,George McCrae (2-1976),5,0,1976,2,0.0
63459,Love Me Forever,Roger Williams (6-1967),5,0,1967,6,0.0
63457,Dr. Ben Basey,Mickey Shorr and The Cutups (7-1962),5,0,1962,7,0.0
63455,Move 'Em Out,Delaney & Bonnie (2-1972),5,0,1972,2,0.0
63438,On Bended Knees,Clarence Henry (11-1961),5,0,1961,11,0.0
63447,Jelly Jungle (Of Orange Marmalade),Lemon Pipers (6-1968),5,0,1968,6,0.0
63474,Mellow Lovin',Judy Cheeks (11-1978),5,0,1978,11,0.0
63470,Living Loving Maid (She's Just A Woman),Led Zeppelin (4-1970),5,0,1970,4,0.0
63465,My Ship Is Comin' In,The Walker Bros. (2-1966),5,0,1966,2,0.0
63660,I've Got To Do A Little Bit Better,Joe Tex (11-1966),5,0,1966,11,0.0
63659,I Should Care,Gloria Lynne (5-1964),5,0,1964,5,0.0
63656,Long Legged Girl (With The Short Dress On),Elvis Presley With The Jordanaires (6-1967),5,0,1967,6,0.0
63655,It Won't Be Wrong,The Byrds (3-1966),5,0,1966,3,0.0
63652,Got To See If I Can't Get Mommy (To Come Back Home),Jerry Butler (2-1970),5,0,1970,2,0.0
63647,In My Heart,The Timetones (6-1961),5,0,1961,6,0.0
63665,I Believe I'm Gonna Make It,Joe Tex (8-1966),5,0,1966,8,0.0
63577,I Can't Hear You,Betty Everett (7-1964),5,0,1964,7,0.0
63585,Let Me Call You Sweetheart,Timi Yuro (3-1962),5,0,1962,3,0.0
61431,How Many Teardrops,Lou Christie (8-1963),5,0,1963,8,0.0
4214,Doo Doo Brown,2 Hyped Brothers & A Dog (4-1992),5,0,1992,4,0.0
61691,It's Just A House Without You,Brook Benton (10-1961),5,0,1961,10,0.0
61685,Homburg,Procol Harum (11-1967),5,0,1967,11,0.0
64976,Mexican Drummer Man,Herb Alpert's Tijuana Brass (4-1964),5,0,1964,4,0.0
64970,Keep Your Hands Off Of Him,Damita Jo (3-1961),5,0,1961,3,0.0
64933,La Dolce Vita (The Sweet Life),Ray Ellis And His Orchestra (7-1961),5,0,1961,7,0.0
64917,Nickel Song,The New Seekers featuring Eve Graham (4-1971),5,0,1971,4,0.0
64955,Hoopa Hoola,Betty Johnson (11-1958),5,0,1958,11,0.0
64916,For The Love Of Ivy,The Mamas & The Papas (10-1968),5,0,1968,10,0.0
65058,Leavin' On Your Mind,Patsy Cline (2-1963),5,0,1963,2,0.0
65092,Drive My Car,Gary Toms Empire (12-1975),5,0,1975,12,0.0
65050,He'd Rather Have The Rain,Heaven Bound with Tony Scotti (10-1971),5,0,1971,10,0.0
65049,Kay,"John Wesley Ryles, I (1-1969)",5,0,1969,1,0.0
65010,Groovin' (Out On Life),The Newbeats (1-1970),5,0,1970,1,0.0
65005,Let Me Return The Favor,Andrea Martin (11-1998),5,0,1998,11,0.0
65002,Lady Eleanor,Lindisfarne (9-1972),5,0,1972,9,0.0
64987,Flim Flam Man,Barbra Streisand (6-1971),5,0,1971,6,0.0
64985,"Lonely Boy, Lonely Guitar",Duane Eddy (6-1963),5,0,1963,6,0.0
65017,Down To The Station,B.W. Stevenson (5-1977),5,0,1977,5,0.0
65031,I Can't Believe You Love Me,Tammi Terrell (2-1966),5,0,1966,2,0.0
65029,Guys My Age,Hey Violet (3-2017),5,0,2017,3,0.0
65025,Good Clean Fun,The Monkees (10-1969),5,0,1969,10,0.0
64915,Georgia Pines,The Candymen (12-1967),5,0,1967,12,0.0
64914,I'm Indestructible,Jack Jones (5-1967),5,0,1967,5,0.0
64768,If I Were A Carpenter...,Leon Russell (5-1974),5,0,1974,5,0.0
64766,"Freedom Comes, Freedom Goes",The Fortunes (10-1971),5,0,1971,10,0.0
64760,I Need Help (I Can't Do It Alone) Pt. 1,Bobby Byrd (11-1970),5,0,1970,11,0.0
64759,Lullaby Of The Leaves,The Ventures (5-1961),5,0,1961,5,0.0
244,"Don't Worry Mother, Your Son's Heart Is Pure",The McCoys (10-1966),5,0,1966,10,0.0
64794,"Goodnight, Irene",Jerry Reed And The Hully Girlies (7-1962),5,0,1962,7,0.0
107,Don't Wanna Think About Paula,Dickey Lee (4-1963),5,0,1963,4,0.0
64724,Hold Back The Tears,The Delacardos (7-1961),5,0,1961,7,0.0
64722,I Was Looking For Someone To Love,Leif Garrett (5-1980),5,0,1980,5,0.0
64752,It Doesn't Have To Be That Way,Jim Croce (1-1974),5,0,1974,1,0.0
64734,Mornin Mornin,Bobby Goldsboro (2-1970),5,0,1970,2,0.0
64902,Funny Little Butterflies,Patty Duke (10-1965),5,0,1965,10,0.0
64895,I Still Believe In Tomorrow,John & Anne Ryder (11-1969),5,0,1969,11,0.0
64892,On The Strip,Paul Nicholas (8-1978),5,0,1978,8,0.0
64891,Everybody Do The Sloopy,Johnny Thunder (12-1965),5,0,1965,12,0.0
64888,If I Could Only Win Your Love,Emmylou Harris (9-1975),5,0,1975,9,0.0
64802,Once You Hit The Road,Dionne Warwick (2-1976),5,0,1976,2,0.0
460,Don't You Miss Me A Little Bit Baby,Jimmy Ruffin (8-1967),5,0,1967,8,0.0
64826,I've Got News For You,Ray Charles (7-1961),5,0,1961,7,0.0
64848,Life During Wartime (This Ain't No Party...This Ain't No Disco...This Ain't,Talking Heads (12-1979),5,0,1979,12,0.0
64846,Got To Believe In Love,Robin McNamara (10-1970),5,0,1970,10,0.0
64841,Honky Tonk '65,Lonnie Mack (11-1965),5,0,1965,11,0.0
64834,I Come Off,Young M.C. (4-1990),5,0,1990,4,0.0
65115,It Only Hurts When I Try To Smile,Dawn Featuring Tony Orlando (4-1974),5,0,1974,4,0.0
65367,It's An Uphill Climb To The Bottom,Walter Jackson (7-1966),5,0,1966,7,0.0
65194,My Sweet Potato,Booker T. & The MG's (10-1966),5,0,1966,10,0.0
65191,Mary's Boy Child/Oh My Lord,Boney M (1-1979),5,0,1979,1,0.0
65189,Keep On Trying,Bobby Vee (6-1965),5,0,1965,6,0.0
65184,Mr. Misunderstood,Eric Church (2-2016),5,0,2016,2,0.0
65229,"If You Asked Me To (From ""Licence To Kill"")",Patti LaBelle (11-1989),5,0,1989,11,0.0
65223,James Dean,Eagles (10-1974),5,0,1974,10,0.0
65177,I Say A Little Prayer/By The Time I Get To Phoenix,Glen Campbell/Anne Murray (11-1971),5,0,1971,11,0.0
65175,Here Is Where Your Love Belongs,The Sons Of Champlin (3-1977),5,0,1977,3,0.0
64704,Judy,Elvis Presley (10-1967),5,0,1967,10,0.0
65132,I Never Said I Love You,Orsa Lia (4-1979),5,0,1979,4,0.0
65131,I Wonder (If Your Love Will Ever Belong To Me),The Pentagons (11-1961),5,0,1961,11,0.0
65124,Norma Jean Wants To Be A Movie Star,Sundown Company (7-1976),5,0,1976,7,0.0
65123,"Just As Long As You Need Me, Part I",Independents (6-1972),5,0,1972,6,0.0
65121,Gonna Be Alright Now,Gayle McCormick (8-1971),5,0,1971,8,0.0
65119,Have You Ever Been Lonely (Have You Ever Been Blue),Teresa Brewer (12-1960),5,0,1960,12,0.0
65168,Kissing The Wind,Nia Peeples (3-1992),5,0,1992,3,0.0
64700,Hey You! Little Boo-Ga-Loo,Chubby Checker (7-1966),5,0,1966,7,0.0
65153,Here To Love You,The Doobie Brothers (3-1982),5,0,1982,3,0.0
65152,"Hi-Lili, Hi-Lo",Richard Chamberlain (3-1963),5,0,1963,3,0.0
65148,Homicide,Logic Featuring Eminem (6-2019),5,0,2019,6,0.0
65312,I Don't Want To Be Lonely,Dana Valery (2-1980),5,0,1980,2,0.0
65309,My Special Prayer,Joe Simon (3-1967),5,0,1967,3,0.0
65319,I'll Still Love You,Jim Weatherly (2-1975),5,0,1975,2,0.0
65302,In Another Land,Bill Wyman (1-1968),5,0,1968,1,0.0
65294,Nothing's Gonna Stop Me Now,Samantha Fox (11-1987),5,0,1987,11,0.0
65305,Light Of A Clear Blue Morning,Dolly Parton (7-1977),5,0,1977,7,0.0
65342,Night's On Fire,David Nail (8-2016),5,0,2016,8,0.0
65339,Never Die Young,James Taylor (4-1988),5,0,1988,4,0.0
64678,Hip Hop Is Dead,Nas Featuring will.i.am (1-2007),5,0,2007,1,0.0
65325,"I Surrender, Dear",Aretha Franklin (3-1962),5,0,1962,3,0.0
64687,Leona,Wet Willie (3-1975),5,0,1975,3,0.0
65252,La Plume De Ma Tante,Hugo & Luigi (7-1959),5,0,1959,7,0.0
64688,John Doe,B.o.B Featuring Priscilla (5-2014),5,0,2014,5,0.0
65250,I Don't Need You Anymore,Together? (Soundtrack) Featuring Jackie DeShannon (4-1980),5,0,1980,4,0.0
65240,La Bamba - Part I,Trini Lopez (7-1966),5,0,1966,7,0.0
65236,Greenwood Mississippi,Little Richard (10-1970),5,0,1970,10,0.0
65235,I Threw It All Away,Bob Dylan (6-1969),5,0,1969,6,0.0
65261,"Oh, What A Fool",The Impalas (7-1959),5,0,1959,7,0.0
65287,Leaving Here,Eddie Holland (3-1964),5,0,1964,3,0.0
65284,Little Eeefin Annie,Joe Perkins (10-1963),5,0,1963,10,0.0
65282,"Hearts In Trouble (From ""Days Of Thunder"")",Chicago (8-1990),5,0,1990,8,0.0
65281,I Did It For Love,Night Ranger (10-1988),5,0,1988,10,0.0
64684,Harper Valley P.T.A. (Later That Same Day),Ben Colder (11-1968),5,0,1968,11,0.0
65277,I'm Gonna Do What They Do To Me,B.B. King (8-1968),5,0,1968,8,0.0
64686,My Claire De Lune,Steve Lawrence (8-1961),5,0,1961,8,0.0
65274,Nature Of Love,Waterfront (8-1989),5,0,1989,8,0.0
65271,Feel Good Time,P!nk Featuring William Orbit (7-2003),5,0,2003,7,0.0
65270,Mr. Happiness,Johnny Maestro with The Coeds (8-1961),5,0,1961,8,0.0
65269,Get'cha Head In The Game,Andrew Seeley (3-2006),5,0,2006,3,0.0
62544,Lonely School Year,The Hudson Brothers (12-1975),5,0,1975,12,0.0
62532,I Ain't Got To Love Nobody Else,The Masqueraders (10-1968),5,0,1968,10,0.0
62516,Moments To Remember,The Vogues (7-1969),5,0,1969,7,0.0
62656,Hound Dog Man (Play It Again),Lenny LeBlanc (10-1977),5,0,1977,10,0.0
62645,Just Tell Her Jim Said Hello,Elvis Presley With The Jordanaires (9-1962),5,0,1962,9,0.0
62640,Keep The One You Got,Joe Tex (9-1968),5,0,1968,9,0.0
62694,Hung Up In Your Eyes,Brian Hyland (3-1967),5,0,1967,3,0.0
62400,It Hurts So Bad,Kim Carnes (3-1979),5,0,1979,3,0.0
62399,Goofus,Carpenters (10-1976),5,0,1976,10,0.0
62387,Funky Drummer (Part 1),James Brown (4-1970),5,0,1970,4,0.0
62385,Jealous Love,Wilson Pickett (3-1968),5,0,1968,3,0.0
62254,Lay Some Happiness On Me,Dean Martin (5-1967),5,0,1967,5,0.0
61976,Mr. D.J. (5 For The D.J.),Aretha Franklin (10-1975),5,0,1975,10,0.0
61967,I Could Write A Book,Jerry Butler (4-1970),5,0,1970,4,0.0
62129,I Want To Love You For What You Are,Ronnie Dove (9-1967),5,0,1967,9,0.0
62136,Mozambique,Bob Dylan (4-1976),5,0,1976,4,0.0
65641,Love's Street And Fool's Road,Solomon Burke (5-1972),5,0,1972,5,0.0
154006,In Need Of A Friend,The Cowsills (4-1968),6,0,1968,4,0.0
153970,Get It Together (Part 1),James Brown And The Famous Flames (12-1967),6,0,1967,12,0.0
153974,My Favorite Things,Herb Alpert & The Tijuana Brass (1-1969),6,0,1969,1,0.0
153977,On This Side Of Goodbye,The Righteous Brothers (12-1966),6,0,1966,12,0.0
153980,Funny Familiar Forgotten Feelings,Tom Jones (6-1967),6,0,1967,6,0.0
153764,From Me To You,The Beatles (4-1964),6,0,1964,4,0.0
153866,For Mama (La Mamma),Connie Francis (4-1965),6,0,1965,4,0.0
153861,In Our Time,Nancy Sinatra (10-1966),6,0,1966,10,0.0
153858,Home Cookin,Jr. Walker & The All Stars (2-1969),6,0,1969,2,0.0
153856,I Found A Love - Part 1,Wilson Pickett (5-1967),6,0,1967,5,0.0
153860,In The Summer Of His Years,Connie Francis (2-1964),6,0,1964,2,0.0
154219,Good Combination,Sonny & Cher (1-1968),6,0,1968,1,0.0
154211,"I Guess I'll Have To Cry, Cry, Cry",James Brown And The Famous Flames (8-1968),6,0,1968,8,0.0
154192,In My Lonely Room,Martha & The Vandellas (5-1964),6,0,1964,5,0.0
154199,My Baby Don't Dig Me,Ray Charles and his Orchestra (7-1964),6,0,1964,7,0.0
154286,"Little Ole Wine Drinker, Me",Dean Martin (9-1967),6,0,1967,9,0.0
154307,Dusty,The Rag Dolls (2-1965),6,0,1965,2,0.0
154302,Livingston Saturday Night,Jimmy Buffett (9-1978),6,0,1978,9,0.0
154301,Ghost Riders In The Sky,Baja Marimba Band (12-1966),6,0,1966,12,0.0
154300,"Ob-La-Di, Ob-La-Da",Arthur Conley (2-1969),6,0,1969,2,0.0
154047,Little Marie,Chuck Berry (11-1964),6,0,1964,11,0.0
154106,Kong,Dickie Goodman (3-1977),6,0,1977,3,0.0
154161,No One To Cry To,Ray Charles (8-1964),6,0,1964,8,0.0
154112,I'll Be With You In Apple Blossom Time,Wayne Newton (6-1965),6,0,1965,6,0.0
154113,More Than The Eye Can See,Al Martino (10-1967),6,0,1967,10,0.0
153393,One Beautiful Day,"Ecstasy, Passion & Pain (5-1975)",6,0,1975,5,0.0
153339,Make Me Forget,Bobby Rydell (5-1964),6,0,1964,5,0.0
153341,One More Mountain To Climb,Ronnie Dove (3-1967),6,0,1967,3,0.0
153344,Easy To Be Free,Rick Nelson (4-1970),6,0,1970,4,0.0
153451,Jeremiah Peabody's Poly Unsaturated Quick Dissolving Fast Acting Pleasant T,Ray Stevens (9-1961),6,0,1961,9,0.0
153455,It May Be Winter Outside (But In My Heart It's Spring),Felice Taylor (2-1967),6,0,1967,2,0.0
153467,Nineteen Days,The Dave Clark Five (11-1966),6,0,1966,11,0.0
153465,I Don't See Me In Your Eyes Anymore,Charlie Rich (6-1974),6,0,1974,6,0.0
153334,Nature Boy,Bobby Darin (7-1961),6,0,1961,7,0.0
153254,Let Us Love,Bill Withers (1-1973),6,0,1973,1,0.0
153228,Lowdown Popcorn,James Brown (9-1969),6,0,1969,9,0.0
153656,Earth Angel (Will You Be Mine),The Vogues (5-1969),6,0,1969,5,0.0
153658,I Can't Control Myself,The Troggs (11-1966),6,0,1966,11,0.0
153681,I'll Take You Where The Music's Playing,The Drifters (9-1965),6,0,1965,9,0.0
153672,I'm In A Different World,Four Tops (11-1968),6,0,1968,11,0.0
153670,Little Games,The Yardbirds (5-1967),6,0,1967,5,0.0
153688,Mighty Good Lovin',The Miracles (8-1961),6,0,1961,8,0.0
153582,Go Loko,"YG, Tyga & Jon Z (6-2019)",6,0,2019,6,0.0
153561,Long Live Our Love,The Shangri-Las (3-1966),6,0,1966,3,0.0
153562,Kiss Me Quick,Elvis Presley With The Jordanaires (6-1964),6,0,1964,6,0.0
153564,I Met Her In Church,The Box Tops (10-1968),6,0,1968,10,0.0
153574,Hot Dawgit,"Ramsey Lewis And Earth, Wind & Fire (2-1975)",6,0,1975,2,0.0
153572,Monkey-Shine,Bill Black's Combo (11-1963),6,0,1963,11,0.0
237575,Whenever I'm Away From You,John Travolta (12-1976),6,0,1976,12,0.0
236542,The River,Good Charlotte Featuring M. Shadows And Synyster Gates (4-2007),6,0,2007,4,0.0
236656,The Rumour,Olivia Newton-John (9-1988),6,0,1988,9,0.0
236747,The Same Old Me,Guy Mitchell (4-1960),6,0,1960,4,0.0
236739,The Same Love,The Jets (11-1989),6,0,1989,11,0.0
237636,Where Are All My Friends,Harold Melvin And The Blue Notes (12-1974),6,0,1974,12,0.0
237691,Where Are We Runnin'?,Lenny Kravitz (7-2004),6,0,2004,7,0.0
251377,We Told You Not To Marry,Titus Turner (12-1959),6,0,1959,12,0.0
251204,We Need Order,The Chi-lites (1-1973),6,0,1973,1,0.0
251431,We Were Always Sweethearts,Boz Scaggs (5-1971),6,0,1971,5,0.0
251532,We'll Be A Dream,WE the Kings Featuring Demi Lovato (8-2010),6,0,2010,8,0.0
251140,We Love You,The Rolling Stones (10-1967),6,0,1967,10,0.0
251134,"We Love You, Call Collect",Art Linkletter (12-1969),6,0,1969,12,0.0
250674,We Could,Al Martino (12-1964),6,0,1964,12,0.0
250668,We Could Be Together,Debbie Gibson (10-1989),6,0,1989,10,0.0
250530,We Can Make Music,Tommy Roe (10-1970),6,0,1970,10,0.0
250514,We Can Make It Baby,The Originals (9-1970),6,0,1970,9,0.0
