,Song,Performer,Relevance (Total Weeks on Chart),Count of no. 1,Year,Month,Popularity
37252,LIFTED,CL (10-2016),1,0,2016,10,0.0
37223,Le Jazz Hot,Glee Cast (10-2010),1,0,2010,10,0.0
37236,It's A Beautiful Day,Michael Buble (3-2013),1,0,2013,3,0.0
37238,I Do It,2 Chainz Featuring Drake & Lil Wayne (9-2013),1,0,2013,9,0.0
48230,Overcome,Creed (9-2009),1,0,2009,9,0.0
48233,Pause,Pitbull (6-2011),1,0,2011,6,0.0
48242,RONDO,6ix9ine Featuring Tory Lanez & Young Thug (3-2018),1,0,2018,3,0.0
48243,66,Lil Yachty Featuring Trippie Redd (3-2018),1,0,2018,3,0.0
48244,Almost Slipped,Meek Mill (12-2018),1,0,2018,12,0.0
48406,Born To Be Somebody,Justin Bieber (3-2011),1,0,2011,3,0.0
48409,Rise Above 1,Reeve Carney Featuring Bono & The Edge (6-2011),1,0,2011,6,0.0
48440,The Birth Of The Beat,Sandy Nelson (2-1962),1,0,1962,2,0.0
48419,Somethin Tells Me,Bryson Tiller (6-2017),1,0,2017,6,0.0
48423,Testimony,Kodak Black (12-2018),1,0,2018,12,0.0
48425,3 Headed Snake,Gunna Featuring Young Thug (3-2019),1,0,2019,3,0.0
48426,A Boy Is A Gun,"Tyler, The Creator (6-2019)",1,0,2019,6,0.0
37703,Fried Onions,Lord Rockingham's XI (10-1958),1,0,1958,10,0.0
37688,Going Down!,XXXTENTACION (3-2018),1,0,2018,3,0.0
37691,Nice,The Carters (6-2018),1,0,2018,6,0.0
37697,Inmortal,Aventura (4-2019),1,0,2019,4,0.0
37698,Make It Right,BTS (4-2019),1,0,2019,4,0.0
37704,Geraldine,Jack Scott (10-1958),1,0,1958,10,0.0
37727,Irresistable You,Bobby Peterson (10-1960),1,0,1960,10,0.0
37749,Little Young Lover,The Impressions (7-1962),1,0,1962,7,0.0
37759,Marching Thru Madrid,Herb Alpert's Tijuana Brass (3-1963),1,0,1963,3,0.0
37761,One Boy Too Late,Mike Clifford (5-1963),1,0,1963,5,0.0
37763,I Know I Know,"""Pookie"" Hudson (5-1963)",1,0,1963,5,0.0
37728,Little Miss Blue,Dion (12-1960),1,0,1960,12,0.0
37739,Johnny Willow,Fred Darian (9-1961),1,0,1961,9,0.0
37744,Guitar Boogie Shuffle Twist,The Virtues (3-1962),1,0,1962,3,0.0
37626,Hot,Avril Lavigne (12-2007),1,0,2007,12,0.0
37629,Girls In Their Summer Clothes,Bruce Springsteen (2-2008),1,0,2008,2,0.0
37632,I Like The Way She Do It,G Unit (5-2008),1,0,2008,5,0.0
37635,Lark On My Go-Kart,Asher Roth (5-2009),1,0,2009,5,0.0
37615,Morris Brown,OutKast Featuring Scar & Sleepy Brown (9-2006),1,0,2006,9,0.0
37617,I'll Be Home For Christmas (Live),Josh Groban (12-2006),1,0,2006,12,0.0
37671,Now & Forever,Drake (3-2015),1,0,2015,3,0.0
37674,Jet Black Heart,5 Seconds Of Summer (9-2015),1,0,2015,9,0.0
37678,La Bicicleta,Carlos Vives & Shakira (7-2016),1,0,2016,7,0.0
37681,No Flockin,Kodak Black (1-2017),1,0,2017,1,0.0
37643,"It's A Man's, Man's Man's World",Glee Cast (6-2010),1,0,2010,6,0.0
37644,Finding My Way Back,Jaheim (7-2010),1,0,2010,7,0.0
37649,Look It Up,Ashton Shepherd (6-2011),1,0,2011,6,0.0
37654,Lost In The Echo,Linkin Park (7-2012),1,0,2012,7,0.0
37777,Like Columbus Did,The Reflections (7-1964),1,0,1964,7,0.0
37779,Gator Tails And Monkey Ribs,The Spats Featuring Dick Johnson (9-1964),1,0,1964,9,0.0
267781,Tonight I'm Getting Over You,Carly Rae Jepsen Featuring Nicki Minaj (5-2013),1,0,2013,5,0.0
256696,When I Get You Alone,Glee Cast (2-2011),1,0,2011,2,0.0
256414,When A Woman Loves,R. Kelly (1-2011),1,0,2011,1,0.0
257823,The Story,Sara Ramirez (4-2011),1,0,2011,4,0.0
257768,The Story (I Was Made For You),Brandi Carlile (4-2007),1,0,2007,4,0.0
258102,The Taker,Waylon Jennings (10-1970),1,0,1970,10,0.0
257291,When Love Slips Away,Dee Dee Warwick (5-1967),1,0,1967,5,0.0
257453,When The Boy's Happy (The Girl's Happy Too),The Four Pennies (11-1963),1,0,1963,11,0.0
256102,Whatever U Want,Christina Milian Featuring Joe Budden (10-2004),1,0,2004,10,0.0
254674,"What Up, What's Haapnin'",T.I. (9-2008),1,0,2008,9,0.0
254745,What Would Meek Do?,Pusha T Featuring Kanye West (6-2018),1,0,2018,6,0.0
254535,What The Water Gave Me,Florence + The Machine (9-2011),1,0,2011,9,0.0
255735,What's Wrong With Them,Lil Wayne Featuring Nicki Minaj (10-2010),1,0,2010,10,0.0
255246,What's Good,"Tyler, The Creator (6-2019)",1,0,2019,6,0.0
260634,Theme From Taras Bulba (The Wishing Star),Jerry Butler (12-1962),1,0,1962,12,0.0
260910,There For You,Martin Garrix x Troye Sivan (6-2017),1,0,2017,6,0.0
260254,The Yen Yet Song,Gary Cane And His Friends (6-1960),1,0,1960,6,0.0
260412,Theme From Adventures In Paradise,Jerry Byrd (7-1960),1,0,1960,7,0.0
261535,There's A Place,The Beatles (4-1964),1,0,1964,4,0.0
261042,There Goes The Lover,Gene Chandler (9-1967),1,0,1967,9,0.0
260163,The Worm,Jimmy McGriff (12-1968),1,0,1968,12,0.0
258717,The Voice In My Heart,Eydie Gorme (12-1958),1,0,1958,12,0.0
259060,The Way I Loved You,Taylor Swift (11-2008),1,0,2008,11,0.0
258214,The Things That I Used To Do,James Brown And His Orchestra (7-1964),1,0,1964,7,0.0
258423,"The Tra La La Song (One Banana, Two Banana)",The Banana Splits (2-1969),1,0,1969,2,0.0
259982,The Wonderful World Of The Young,Andy Williams (3-1962),1,0,1962,3,0.0
249226,Warrior,Nelly (8-2008),1,0,2008,8,0.0
249334,Wasted Love,Matt McAndrew (1-2015),1,0,2015,1,0.0
249314,Waste It On Me,Steve Aoki Featuring BTS (11-2018),1,0,2018,11,0.0
249313,Wassup,Logic Featuring Big Sean (3-2018),1,0,2018,3,0.0
249312,Wasn't The Summer Short?,Johnny Mathis (10-1961),1,0,1961,10,0.0
249022,Want You Back,5 Seconds Of Summer (3-2018),1,0,2018,3,0.0
248597,Walking On Air,Katy Perry (10-2013),1,0,2013,10,0.0
248946,"Want It, Need It",Plies Featuring Ashanti (3-2009),1,0,2009,3,0.0
250143,Way Too Cold,Kanye West Featuring DJ Khaled (5-2012),1,0,2012,5,0.0
250157,We All Gotta Stick Together,Four Tops (12-1975),1,0,1975,12,0.0
250341,We Ball,Meek Mill Featuring Young Thug (8-2017),1,0,2017,8,0.0
250340,We Are,Justin Bieber Featuring Nas (12-2015),1,0,2015,12,0.0
247275,Yesterday Man,Chris Andrews (1-1966),1,0,1966,1,0.0
247511,Yolo,The Lonely Island Featuring Adam Levine & Kendrick Lamar (2-2013),1,0,2013,2,0.0
246813,Yeah Yeah U Know It,Keith Murray Featuring Def Squad (4-2003),1,0,2003,4,0.0
246767,Ye vs The People,Kanye West Featuring T.I. (5-2018),1,0,2018,5,0.0
246969,Yeh-Yeh!,Mongo Santamaria Orch. (6-1963),1,0,1963,6,0.0
247088,Yes I Want You,Ivory Joe Hunter (9-1958),1,0,1958,9,0.0
248408,Walkin' To Mother's,Ray Anthony and His Orchestra (4-1959),1,0,1959,4,0.0
248344,Walkin' Back To Happiness,Helen Shapiro (12-1961),1,0,1961,12,0.0
252712,"What A Catch, Donnie",Fall Out Boy (11-2008),1,0,2008,11,0.0
252481,Wesley's Theory,Kendrick Lamar Featuring George Clinton & Thundercat (4-2015),1,0,2015,4,0.0
253795,What I Do,Chris Brown Featuring Plies (12-2009),1,0,2009,12,0.0
253780,What I Did For Love,Glee Cast (10-2010),1,0,2010,10,0.0
253858,What I've Been Looking For (Reprise),Andrew Seeley & Vanessa Anne Hudgens (2-2006),1,0,2006,2,0.0
253925,What If It All Goes Right,Melissa Lawson (8-2008),1,0,2008,8,0.0
253909,What If I Never Get Over You,Lady Antebellum (6-2019),1,0,2019,6,0.0
253281,What Are You So Afraid Of,XXXTENTACION (12-2018),1,0,2018,12,0.0
253280,What Are You Doing With A Fool Like Me,Joe Cocker (6-1990),1,0,1990,6,0.0
253270,What Are Words,Chris Medina (3-2011),1,0,2011,3,0.0
253567,What Doesn't Kill You (Stronger),Glee Cast (3-2012),1,0,2012,3,0.0
