,Song,Video Title,Views
16511,Mine,Avicii - Friend Of Mine (Original Video) ft. Vargas & Lagola,965999.0
17165,Bartier Cardi,,
17935,Sad!,,
18005,Outside Today,,
18035,Say Something,Justin Timberlake - Say Something (Official Video) ft. Chris Stapleton,2125929.0
18411,New Freezer,,
18903,Japan,,
18990,Lemon,,
19201,Most People Are Good,,
19316,No Excuses,Meghan Trainor - No Excuses,1034355.0
19403,Dura,,
19505,NBAYoungboat,,
19573,KEKE,,
19574,Lost In Japan,,
19674,Eye 2 Eye,,
19867,Go Legend,,
19970,Modern Slavery,,
20074,Female,Keith Urban - Female (Lyric Video),55467.0
20188,Japan,,
20476,Friends,Camila Cabello - Real Friends (Audio),1796416.0
20477,In My Blood,Shawn Mendes - In My Blood,2822006.0
20624,Gang Gang,,
20625,Man Of The Woods,,
20626,Let Me,"Hailee Steinfeld, Alesso - Let Me Go ft. Florida Georgia Line, watt",751525.0
20627,Jonestown (Interlude),,
20782,Midnight,Chris Stapleton - Midnight Train To Memphis (Live From SNL Studios/2018),140430.0
20783,Lucid Dreams,,
20949,New Freezer,,
21345,My Dawg,,
21346,Me Niego,,
22002,One Foot,,
22003,My My My!,Troye Sivan - My My My!,1796354.0
22004,Gucci Flip Flops,,
22162,Hardaway,,
22187,I Lived It,,
22672,God's Plan,,
22922,Gucci Gang,,
22923,Finesse,Bruno Mars and Cardi B - Finesse (LIVE From The 60th GRAMMYs ®),4866576.0
23527,Look Alive,,
23617,MotorSport,"Migos, Nicki Minaj, Cardi B - MotorSport",4514272.0
23755,No Limit,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",5050147.0
23810,Mine,Avicii - Friend Of Mine (Original Video) ft. Vargas & Lagola,965999.0
24014,Him & I,G-Eazy & Halsey - Him & I (Official Video),1554273.0
24350,Let You Down,NF - Let You Down,1774018.0
24405,Meant To Be,,
25852,Filthy,Justin Timberlake - Filthy (Official Video),211014.0
25952,Japan,,
26258,In My Blood,Shawn Mendes - In My Blood,2822006.0
26360,King's Dead,"Jay Rock, Kendrick Lamar, Future, James Blake - King's Dead",4014741.0
26409,Marry Me,Thomas Rhett - Marry Me,851835.0
26478,End Game,"Taylor Swift - End Game ft. Ed Sheeran, Future",14089954.0
26670,Friends,Camila Cabello - Real Friends (Audio),1796416.0
26732,New Freezer,,
26794,Meant To Be,,
27331,Never Enough,,
27510,God's Plan,,
27511,Nice For What,Drake - Nice For What,24421448.0
27560,Finesse,Bruno Mars and Cardi B - Finesse (LIVE From The 60th GRAMMYs ®),4866576.0
27587,Look Alive,,
27633,Freaky Friday,,
